4,100,1,0,,,,tempo,,,,,,
-6.764,,0.0477,,,,,95.968,,,,,,
-7.951,,0.306,,,,,151.3,,,,,,
-27.528,,0.0419,,,,,75.296,,,,,,
-6.994,,0.0585,,,,,8.99E+01,,,,,,
-7.516,,0.222,,,,,155.1,,,,,,
-6.415,,0.125,,,,,141.0,,,,,,
-8.405,,0.324,,,,,75.0,,,,,,
-6.024,,0.171,,,,,1.05E+02,,,,,,
-7.063,,0.0498,,,,,112.019,,,,,,
-6.995,,0.447,,,,,158.0,,,,,,
-7.173,,0.118,,,,,127.69,,,,,,
-9.19,,0.241,,,,,147.9,,,,,,
-4.505,,0.151,,,,,102.757,,,,,,
-5.782,,0.22,,,,,168.8,,,,,,
-2.336,,0.0741,,,,,135.0,,,,,,
-9.906,,0.0309,,,,,106.023,,,,,,
-5.65,,0.123,,,,,142.0,,,,,,
-9.482,,0.0874,,,,,94.0,,,,,,
-10.889,,0.154,,,,,117.0,,,,,,
-5.202,,0.241,,,,,1.36E+02,,,,,,
-3.832,,0.202,,,,,150.0,,,,,,
-21.686,,0.0695,,,,,106.275,,,,,,
-8.6,,0.0631,,,,,138.984,,,,,,
-12.028,,0.376,,,,,180.0,,,,,,
-10.104,,0.444,,,,,1.56E+02,,,,,,
-7.908,,0.237,,,,,101.1,,,,,,
-7.712,,0.0514,,,,,7.65E+01,,,,,,
-8.546,,0.385,,,,,152.0,,,,,,
-4.847,,0.297,,,,,172.1,,,,,,
-13.553,,0.526,,,,,148.2,,,,,,
-6.551,,0.0774,,,,,7.54E+01,,,,,,
-12.072,,0.118,,,,,2E+02,,,,,,
-5.138,,0.153,,,,,79.792,,,,,,
-9.026,,0.339,,,,,7.65E+01,,,,,,
-8.664,,0.0945,,,,,7.07E+01,,,,,,
-28.493,,0.0324,,,,,128.056,,,,,,
-7.649,,0.108,,,,,82.0,,,,,,
-4.197,,0.105,,,,,119.215,,,,,,
-8.582,,0.0806,,,,,100.437,,,,,,
-9.071,,0.273,,,,,146.0,,,,,,
-8.179,,0.0727,,,,,137.681,,,,,,
-9.795,,0.108,,,,,7.5E+01,,,,,,
-3.777,,0.0837,,,,,126.0,,,,,,
-5.663,,0.147,,,,,94.0,,,,,,
-6.237,,0.106,,,,,93.771,,,,,,
-5.016,,0.122,,,,,97.346,,,,,,
-6.382,,0.117,,,,,100.0,,,,,,
-3.645,,0.188,,,,,121.1,,,,,,
-42.261,,0.0531,,,,,71.428,,,,,,
-5.82,,0.0816,,,,,107.877,,,,,,
-10.264,,0.483,,,,,170.1,,,,,,
-6.995,,0.405,,,,,85.0,,,,,,
-3.45,,0.0734,,,,,152.018,,,,,,
-8.757,,0.0802,,,,,84.9,,,,,,
-5.781,,0.131,,,,,108.017,,,,,,
-7.654,,0.069,,,,,139.959,,,,,,
-7.178,,0.306,,,,,140.0,,,,,,
-11.121,,0.292,,,,,1.5E+02,,,,,,
-33.09,,0.0395,,,,,101.226,,,,,,
-7.766,,0.0772,,,,,142.891,,,,,,
-10.431,,0.0693,,,,,1.02E+02,,,,,,
-8.516,,0.191,,,,,150.1,,,,,,
-23.869,,0.0507,,,,,129.466,,,,,,
-5.491,,0.108,,,,,148.084,,,,,,
-5.661,,0.175,,,,,94.443,,,,,,
