5,0.12,0.02,0.256,4,,,
7,0.0477,0.451,0.628,4,,,
10,0.306,0.206,0.519,4,,,
1,0.0419,0.992,0.0382,4,,,
3,0.0585,0.431,0.582,4,,,
1,0.222,0.145,0.647,4,,,
8,0.125,0.0404,0.827,4,,,
0,0.324,0.555,0.776,4,,,
7,0.171,0.0779,0.904,4,,,
7,0.0498,0.143,0.308,4,,,
3,0.447,0.263,0.745,4,,,
9,0.118,5.66E-05,0.178,4,,,
1,0.241,0.00471,0.676,4,,,
1,0.151,0.00146,0.234,4,,,
6,0.22,0.584,0.191,4,,,
8,0.0741,0.0431,0.692,4,,,
5,0.0309,0.221,0.777,4,,,
8,0.123,0.0155,0.734,4,,,
8,0.0874,0.44,0.124,4,,,
1,0.154,0.523,0.235,4,,,
8,0.241,0.0555,0.48,4,,,
9,0.202,0.165,0.609,4,,,
9,0.0695,0.983,0.37,5,,,
5,0.0631,0.268,0.498,4,,,
4,0.376,0.274,0.205,3,,,
9,0.444,0.747,0.422,4,,,
1,0.237,0.0987,0.193,4,,,
4,0.0514,0.271,0.113,4,,,
5,0.385,0.4,0.756,4,,,
6,0.297,0.0867,0.804,4,,,
8,0.526,0.0608,0.313,4,,,
7,0.0774,0.392,0.567,4,,,
6,0.118,0.0499,0.525,4,,,
1,0.153,0.00127,0.257,4,,,
10,0.339,0.753,0.351,4,,,
0,0.0945,0.446,0.682,3,,,
4,0.0324,0.708,0.154,4,,,
7,0.108,0.491,0.769,4,,,
1,0.105,0.000428,0.381,4,,,
8,0.0806,0.0182,0.863,4,,,
11,0.273,0.208,0.719,4,,,
8,0.0727,8.18E-05,0.449,4,,,
1,0.108,0.832,0.712,4,,,
5,0.0837,0.00045,0.395,4,,,
3,0.147,0.241,0.724,4,,,
8,0.106,2.32E-05,0.33,3,,,
1,0.122,0.000319,0.34,4,,,
11,0.117,0.392,0.813,4,,,
2,0.188,0.174,0.381,4,,,
1,0.0531,0.995,0.267,4,,,
1,0.0816,2.94E-05,0.399,3,,,
10,0.483,0.639,0.556,4,,,
2,0.405,0.153,0.638,4,,,
5,0.0734,0.185,0.357,4,,,
0,0.0802,0.653,0.166,4,,,
8,0.131,3.69E-05,0.139,4,,,
2,0.069,0.191,0.328,4,,,
0,0.306,0.335,0.639,4,,,
2,0.292,0.0485,0.506,4,,,
8,0.0395,0.978,0.0674,4,,,
8,0.0772,2.85E-05,0.318,4,,,
2,0.0693,0.0422,0.59,4,,,
5,0.191,0.684,0.591,4,,,
6,0.0507,0.992,0.0384,3,,,
5,0.108,0.000163,0.556,4,,,
8,0.175,1.53E-05,0.0718,1,,,
8,0.339,0.325,0.414,5,,,
1,0.42,0.603,0.492,4,,,
5,0.0353,0.191,0.922,4,,,
0,0.333,0.805,0.716,4,,,
8,0.245,0.633,0.64,4,,,
1,0.246,0.0275,0.619,4,,,
11,0.222,0.597,0.752,4,,,
10,0.157,0.206,0.561,4,,,
1,0.0595,0.0466,0.931,4,,,
1,0.202,0.309,0.375,4,,,
6,0.0787,1.73E-05,0.535,4,,,
10,0.0781,0.000535,0.339,4,,,
9,0.128,0.455,0.566,4,,,
6,0.0635,0.509,0.331,4,,,
4,0.29,0.244,0.705,4,,,
9,0.097,0.0309,0.494,4,,,
0,0.0423,0.271,0.897,4,,,
11,0.181,0.0931,0.521,4,,,
1,0.0418,0.499,0.163,3,,,
2,0.277,0.167,0.682,4,,,
4,0.0827,0.277,0.228,4,,,
1,0.0408,0.984,0.12,4,,,
8,0.0865,8.35E-05,0.449,4,,,
9,0.0619,0.0435,0.933,4,,,
5,0.0625,0.0613,0.969,4,,,
1,0.2,0.392,0.654,3,,,
10,0.0318,0.0648,0.962,4,,,
2,0.047,0.23,0.394,4,,,
10,0.0313,0.0304,0.965,4,,,
9,0.271,0.213,0.443,4,,,
0,0.0486,0.396,0.831,4,,,
10,0.079,0.112,0.252,4,,,
7,0.0487,0.0422,0.89,4,,,
7,0.179,0.202,0.742,4,,,
6,0.274,0.117,0.805,4,,,
7,0.1,0.325,0.136,4,,,
2,0.0507,0.0148,0.415,4,,,
5,0.352,0.287,0.683,4,,,
10,0.118,6.27E-05,0.275,4,,,
9,0.0793,0.000809,0.451,4,,,
6,0.0349,0.203,0.766,4,,,
10,0.0962,0.000325,0.18,3,,,
7,0.0356,0.927,0.126,3,,,
10,0.032,0.458,0.851,4,,,
1,0.276,0.3,0.558,4,,,
0,0.0408,0.992,0.0353,3,,,
6,0.0857,0.429,0.785,4,,,
8,0.259,0.241,0.766,4,,,
2,0.0336,0.935,0.176,4,,,
7,0.103,2.19E-05,0.0724,4,,,
1,0.0718,9.86E-05,0.482,3,,,
5,0.0462,0.185,0.768,4,,,
9,0.0437,0.4,0.197,4,,,
6,0.142,0.405,0.539,4,,,
1,0.507,0.639,0.58,4,,,
9,0.54,0.65,0.366,5,,,
9,0.0302,0.114,0.98,4,,,
11,0.0434,0.00308,0.271,4,,,
1,0.305,0.279,0.633,4,,,
8,0.343,0.0342,0.753,4,,,
1,0.253,0.203,0.283,4,,,
1,0.145,5.81E-05,0.166,4,,,
6,0.171,0.772,0.407,4,,,
6,0.0451,0.231,0.0761,4,,,
7,0.0467,0.992,0.0384,3,,,
7,0.0665,0.0696,0.844,4,,,
6,0.0704,0.293,0.119,4,,,
8,0.0818,3.05E-06,0.316,4,,,
7,0.0758,0.235,0.402,3,,,
4,0.273,0.396,0.658,4,,,
5,0.0412,0.986,0.101,5,,,
2,0.401,0.106,0.848,4,,,
11,0.0535,0.973,0.974,3,,,
4,0.0355,0.991,0.0964,4,,,
2,0.112,0.0617,0.586,4,,,
9,0.231,0.00153,0.577,4,,,
6,0.304,0.295,0.761,4,,,
4,0.0571,0.995,0.0417,4,,,
4,0.0959,0.405,0.802,4,,,
8,0.095,2.45E-05,0.334,4,,,
3,0.0583,0.019,0.758,4,,,
8,0.166,0.000386,0.302,4,,,
2,0.0575,0.000526,0.503,4,,,
5,0.0662,0.00108,0.767,4,,,
10,0.102,0.329,0.723,4,,,
6,0.261,0.318,0.538,4,,,
0,0.0635,0.131,0.235,4,,,
7,0.416,0.122,0.659,4,,,
6,0.079,5.22E-05,0.368,4,,,
10,0.0375,0.392,0.359,4,,,
5,0.09,0.725,0.429,4,,,
1,0.208,0.542,0.537,4,,,
6,0.0361,0.414,0.743,4,,,
1,0.035,0.993,0.085,3,,,
8,0.0578,0.961,0.0454,1,,,
6,0.23,0.641,0.619,4,,,
9,0.158,0.513,0.652,4,,,
6,0.264,0.0104,0.691,4,,,
11,0.0831,0.00901,0.566,4,,,
7,0.0668,0.195,0.966,4,,,
7,0.167,0.0857,0.766,4,,,
0,0.275,0.305,0.645,4,,,
10,0.041,0.991,0.0371,4,,,
5,0.044,0.877,0.222,4,,,
11,0.439,0.52,0.665,4,,,
7,0.0595,0.968,0.296,4,,,
9,0.0407,0.984,0.142,3,,,
1,0.308,0.466,0.551,4,,,
2,0.09,0.000243,0.177,4,,,
5,0.0354,0.0791,0.947,4,,,
10,0.0363,0.0752,0.961,4,,,
2,0.0376,0.934,0.036,4,,,
1,0.261,0.094,0.587,4,,,
0,0.326,0.416,0.649,4,,,
7,0.0387,0.785,0.631,4,,,
2,0.0278,0.6,0.628,4,,,
7,0.234,0.109,0.815,4,,,
5,0.039,0.00418,0.861,4,,,
10,0.215,4.93E-05,0.0468,4,,,
5,0.0909,0.542,0.39,4,,,
9,0.0429,0.416,0.153,4,,,
11,0.0581,0.156,0.0888,5,,,
1,0.279,0.0987,0.22,4,,,
0,0.336,0.127,0.723,4,,,
6,0.143,5.84E-06,0.105,4,,,
9,0.052,0.976,0.143,3,,,
3,0.0565,0.0192,0.882,4,,,
9,0.0448,0.951,0.616,4,,,
10,0.0965,0.0406,0.413,5,,,
11,0.197,0.13,0.531,4,,,
